index,rssi,snr,sf
5,-72,9.50,7
6,-68,10.00,7
7,-68,9.75,7
8,-67,9.50,7
9,-68,9.75,7
10,-68,9.75,7
11,-67,9.50,7
12,-67,9.75,7
13,-66,9.50,7
14,-70,9.25,7
15,-69,9.00,7
16,-69,9.25,7
17,-71,9.25,7
18,-70,9.25,7
19,-70,9.00,7
20,-73,9.75,7
21,-73,9.50,7
22,-74,9.75,7
23,-70,9.25,7
24,-73,9.50,7
25,-68,9.50,7
26,-66,9.50,7
27,-68,9.50,7
28,-66,9.25,7
29,-66,9.50,7
30,-69,9.25,7
31,-69,9.50,7
32,-70,9.25,7
33,-70,9.25,7
34,-69,9.25,7
35,-72,9.50,7
36,-69,9.50,7
37,-70,9.25,7
38,-69,9.50,7
39,-70,9.25,7
40,-74,9.50,7
41,-71,9.25,7
42,-68,9.50,7
43,-70,9.25,7
44,-70,9.25,7
45,-70,9.00,7
46,-70,9.00,7
47,-67,9.25,7
48,-69,9.50,7
49,-71,9.50,7
50,-70,11.75,8
51,-73,11.75,8
52,-71,10.50,8
53,-70,11.00,8
54,-72,12.00,8
55,-70,10.75,8
56,-73,12.00,8
57,-71,12.00,8
58,-77,11.50,8
59,-81,11.00,8
60,-78,12.00,8
61,-77,11.75,8
62,-77,11.75,8
63,-77,12.00,8
64,-80,11.50,8
65,-80,11.25,8
66,-80,11.75,8
67,-85,10.50,8
68,-76,11.25,8
69,-76,11.25,8
70,-74,11.75,8
71,-77,12.00,8
72,-77,12.00,8
73,-83,11.50,8
74,-67,11.75,8
75,-67,11.75,8
76,-68,11.75,8
77,-68,11.75,8
78,-68,11.75,8
79,-67,12.00,8
80,-68,12.00,8
81,-67,12.00,8
82,-67,12.00,8
83,-67,12.00,8
84,-69,11.75,8
85,-71,11.00,8
86,-76,10.75,8
87,-67,11.75,8
88,-72,12.00,8
89,-69,12.00,8
90,-70,11.50,8
91,-68,11.75,8
92,-71,10.75,8
93,-71,12.00,8
94,-68,11.75,8
95,-69,12.00,8
96,-68,12.00,8
97,-69,11.75,8
98,-69,11.75,8
99,-69,12.00,8
100,-68,13.50,9
101,-66,13.50,9
102,-66,14.00,9
103,-71,13.00,9
104,-71,13.00,9
105,-73,13.50,9
106,-70,9.50,9
107,-70,10.25,9
108,-70,10.00,9
109,-70,10.00,9
110,-70,9.75,9
111,-70,10.00,9
112,-70,9.75,9
113,-70,9.75,9
114,-70,10.00,9
115,-70,9.75,9
116,-70,10.75,9
117,-70,10.25,9
118,-71,12.00,9
119,-72,12.75,9
120,-67,13.25,9
121,-69,11.00,9
122,-68,13.25,9
123,-69,11.25,9
124,-67,13.25,9
125,-67,13.50,9
126,-71,12.75,9
127,-69,10.00,9
128,-68,12.25,9
129,-71,13.00,9
130,-67,13.25,9
131,-70,10.50,9
132,-71,13.50,9
133,-81,11.25,9
134,-78,13.00,9
135,-74,11.00,9
136,-69,10.75,9
137,-72,14.00,9
138,-76,13.50,9
139,-78,13.00,9
140,-77,13.50,9
141,-76,13.00,9
142,-71,13.50,9
143,-72,13.50,9
144,-69,12.75,9
145,-71,13.00,9
146,-68,13.75,9
147,-67,13.50,9
148,-70,10.50,9
149,-71,14.00,9
150,-71,10.25,10
151,-71,11.00,10
152,-70,10.25,10
153,-68,13.25,10
154,-69,11.25,10
155,-69,11.00,10
156,-70,10.50,10
158,-68,11.50,10
160,-68,13.50,10
161,-70,10.00,10
162,-69,11.25,10
163,-69,12.50,10
164,-67,13.50,10
165,-72,11.50,10
166,-69,11.75,10
167,-73,13.25,10
168,-69,10.75,10
169,-70,9.75,10
171,-71,11.00,10
172,-72,13.50,10
173,-75,10.75,10
174,-70,10.25,10
175,-70,10.25,10
176,-71,12.00,10
177,-70,10.25,10
178,-69,11.75,10
179,-70,10.25,10
180,-71,10.50,10
181,-72,13.50,10
182,-71,11.25,10
183,-71,11.75,10
184,-71,10.25,10
185,-71,12.25,10
186,-71,11.00,10
187,-71,10.25,10
188,-72,13.00,10
189,-69,10.75,10
190,-71,10.00,10
191,-73,12.75,10
192,-71,12.00,10
193,-70,10.75,10
194,-70,10.00,10
195,-70,10.75,10
196,-70,6.75,10
197,-71,12.00,10
198,-70,10.25,10
199,-70,9.50,10
200,-71,11.50,11
201,-72,9.75,11
202,-71,11.25,11
