index,rssi,snr,sf
1,-76,9.25,7
2,-76,9.50,7
3,-74,9.25,7
4,-72,10.00,7
5,-73,12.00,7
6,-72,9.50,7
7,-74,9.75,7
8,-78,10.50,7
9,-77,9.75,7
10,-77,9.50,7
11,-79,12.50,7
12,-79,9.50,7
13,-79,9.50,7
14,-80,9.25,7
15,-81,9.25,7
16,-75,9.25,7
17,-76,9.25,7
18,-80,9.50,7
19,-81,9.25,7
20,-80,9.75,7
21,-79,9.50,7
22,-78,9.50,7
23,-80,9.50,7
24,-78,9.50,7
25,-78,9.50,7
26,-81,9.25,7
27,-78,9.75,7
28,-79,9.75,7
29,-78,9.50,7
30,-79,9.75,7
31,-76,9.50,7
32,-79,9.50,7
33,-76,9.25,7
34,-77,9.50,7
35,-77,9.50,7
36,-81,9.25,7
37,-76,9.50,7
38,-78,9.50,7
39,-77,9.75,7
40,-81,9.00,7
41,-78,9.25,7
42,-78,9.75,7
43,-76,9.25,7
44,-77,9.50,7
45,-76,9.50,7
46,-78,9.50,7
47,-81,9.50,7
48,-77,9.75,7
49,-78,9.50,7
50,-79,12.25,8
51,-79,11.75,8
52,-79,11.75,8
53,-78,12.25,8
54,-78,12.00,8
55,-78,12.00,8
56,-79,12.00,8
57,-78,12.00,8
58,-75,11.75,8
59,-75,11.50,8
60,-76,11.75,8
61,-79,12.00,8
62,-78,11.75,8
63,-78,12.00,8
64,-78,11.75,8
65,-79,12.00,8
66,-78,12.00,8
67,-78,11.75,8
68,-78,11.75,8
69,-79,11.75,8
70,-79,12.00,8
71,-81,10.25,8
72,-80,11.50,8
73,-79,11.75,8
74,-78,12.00,8
75,-79,11.75,8
76,-81,11.50,8
77,-80,11.50,8
78,-79,11.75,8
79,-80,11.50,8
80,-78,12.00,8
81,-80,11.75,8
82,-80,11.75,8
83,-80,11.75,8
84,-80,11.75,8
85,-80,11.75,8
86,-79,11.75,8
87,-79,12.25,8
88,-79,11.75,8
89,-80,12.00,8
90,-80,11.50,8
91,-80,11.50,8
92,-79,11.75,8
93,-81,10.25,8
94,-81,11.25,8
95,-78,12.00,8
96,-79,12.00,8
97,-79,12.00,8
98,-79,12.00,8
99,-78,11.75,8
100,-78,13.00,9
101,-77,13.50,9
102,-77,13.50,9
103,-77,13.75,9
104,-78,13.50,9
105,-78,13.50,9
106,-78,13.00,9
107,-77,13.50,9
108,-78,13.50,9
109,-78,13.50,9
110,-80,10.25,9
111,-80,12.50,9
112,-81,9.75,9
113,-82,13.75,9
114,-80,10.00,9
115,-79,13.50,9
116,-80,10.50,9
117,-78,13.00,9
118,-80,10.50,9
119,-79,13.25,9
120,-79,13.75,9
121,-80,13.25,9
122,-79,13.25,9
123,-80,11.25,9
124,-80,11.50,9
125,-79,13.25,9
126,-77,13.50,9
127,-78,13.50,9
128,-79,13.50,9
129,-79,13.25,9
130,-78,13.25,9
131,-79,13.50,9
132,-79,13.25,9
133,-78,13.25,9
134,-79,12.75,9
135,-79,13.25,9
136,-79,13.00,9
137,-79,13.00,9
138,-78,13.75,9
139,-76,13.00,9
140,-75,10.50,9
141,-78,13.25,9
142,-79,13.25,9
143,-76,13.75,9
144,-76,12.75,9
145,-77,13.75,9
146,-76,10.25,9
147,-75,10.00,9
148,-76,10.00,9
149,-77,13.75,9
150,-77,13.75,10
151,-76,10.25,10
152,-77,12.25,10
153,-76,10.00,10
154,-78,13.50,10
155,-79,13.00,10
156,-78,13.75,10
157,-78,14.00,10
158,-78,13.25,10
159,-78,13.75,10
160,-79,13.50,10
161,-79,12.25,10
162,-78,13.50,10
163,-79,11.75,10
164,-78,13.25,10
165,-81,10.50,10
166,-78,13.00,10
167,-79,13.00,10
168,-80,11.25,10
169,-80,11.25,10
170,-81,10.75,10
171,-78,13.50,10
172,-79,13.25,10
173,-79,12.25,10
174,-78,13.50,10
175,-79,11.75,10
176,-79,13.25,10
177,-79,13.50,10
178,-80,11.25,10
179,-80,10.50,10
180,-80,10.25,10
181,-78,13.75,10
182,-82,12.50,10
183,-80,11.50,10
184,-79,11.25,10
185,-78,13.50,10
186,-79,12.75,10
187,-79,13.50,10
188,-79,13.50,10
189,-79,12.25,10
190,-77,13.75,10
191,-77,12.00,10
192,-77,11.25,10
193,-75,11.00,10
194,-76,9.75,10
195,-78,13.75,10
196,-79,13.00,10
197,-78,13.50,10
198,-78,13.75,10
199,-77,10.00,10
200,-79,10.75,11
201,-80,11.75,11
202,-78,8.75,11
203,-78,9.75,11
204,-81,10.75,11
205,-79,11.25,11
206,-80,10.75,11
207,-81,10.50,11
208,-80,11.25,11
209,-80,11.75,11
210,-80,11.50,11
211,-80,12.25,11
212,-80,12.25,11
213,-81,11.00,11
214,-80,11.25,11
215,-81,11.00,11
216,-80,11.25,11
217,-80,11.25,11
218,-81,11.00,11
219,-78,12.25,11
220,-78,10.00,11
221,-75,11.00,11
222,-77,9.25,11
223,-77,9.75,11
224,-76,10.00,11
225,-74,11.50,11
226,-79,11.75,11
227,-79,12.25,11
228,-78,12.00,11
229,-78,10.00,11
230,-77,10.25,11
231,-76,10.50,11
232,-76,10.50,11
233,-76,11.25,11
234,-76,10.75,11
235,-80,10.50,11
236,-80,11.00,11
237,-81,11.00,11
238,-78,9.75,11
239,-78,10.50,11
240,-75,11.00,11
241,-74,12.75,11
242,-75,11.50,11
243,-75,11.25,11
244,-75,11.75,11
245,-78,10.25,11
246,-77,9.75,11
247,-78,12.00,11
248,-77,9.50,11
249,-77,10.25,11
250,-79,9.25,12
251,-77,7.75,12
252,-77,8.50,12
253,-78,9.25,12
254,-78,8.75,12
255,-75,9.00,12
256,-77,8.75,12
257,-74,9.75,12
258,-79,10.50,12
259,-77,9.25,12
260,-78,10.50,12
261,-77,8.50,12
262,-76,8.50,12
263,-77,8.50,12
264,-78,10.25,12
265,-76,9.25,12
266,-78,10.75,12
271,-77,9.75,12
272,-77,10.50,12
273,-81,9.75,12
274,-79,10.00,12
275,-78,9.75,12
276,-75,9.50,12
277,-76,9.50,12
278,-76,9.00,12
279,-77,8.75,12
280,-77,9.00,12
281,-77,8.50,12
282,-74,10.50,12
283,-73,10.25,12
284,-75,9.25,12
285,-73,9.50,12
286,-75,10.25,12
287,-76,9.50,12
288,-76,9.25,12
289,-75,9.50,12
290,-75,10.25,12
291,-75,9.75,12
292,-75,8.75,12
293,-76,9.25,12
294,-74,11.00,12
295,-74,10.00,12
296,-76,9.00,12
297,-76,9.00,12
298,-76,9.00,12
299,-74,10.50,12
300,-71,9.25,7
301,-73,9.50,7
302,-74,9.50,7
303,-76,9.50,7
304,-75,9.50,7
305,-76,9.25,7
306,-76,10.25,7
307,-76,9.75,7
308,-75,9.75,7
309,-72,9.50,7
310,-74,11.00,7
311,-76,9.75,7
312,-74,10.00,7
313,-75,9.50,7
314,-72,9.75,7
315,-75,9.25,7
316,-76,9.75,7
317,-74,10.00,7
318,-75,9.75,7
319,-72,9.50,7
320,-71,9.25,7
321,-72,10.00,7
322,-74,9.50,7
323,-74,9.50,7
324,-76,9.75,7
325,-75,9.50,7
326,-73,9.50,7
327,-73,9.50,7
328,-73,9.50,7
329,-74,9.25,7
330,-74,9.25,7
331,-76,9.75,7
332,-77,9.75,7
333,-78,10.00,7
334,-76,9.75,7
335,-75,9.25,7
336,-76,9.75,7
337,-76,9.25,7
338,-75,10.50,7
339,-75,9.50,7
340,-75,9.25,7
341,-75,9.50,7
342,-74,9.75,7
343,-74,9.50,7
344,-75,9.25,7
345,-74,9.50,7
346,-75,9.00,7
347,-74,11.00,7
349,-75,11.75,7
350,-73,12.25,8
351,-72,12.00,8
352,-74,12.00,8
353,-75,11.00,8
354,-73,12.00,8
355,-73,12.25,8
356,-73,12.00,8
357,-75,11.25,8
358,-75,11.00,8
359,-75,9.50,8
360,-74,12.25,8
361,-74,12.25,8
362,-75,11.25,8
363,-76,12.00,8
364,-75,11.50,8
365,-75,10.50,8
366,-74,12.00,8
367,-72,12.25,8
368,-74,12.25,8
369,-75,12.00,8
370,-75,10.25,8
371,-75,10.25,8
372,-75,11.75,8
373,-75,11.75,8
374,-75,11.75,8
375,-76,12.25,8
376,-73,12.00,8
377,-72,12.25,8
378,-74,12.00,8
379,-75,10.25,8
380,-75,10.75,8
381,-75,11.25,8
382,-75,11.25,8
383,-75,11.50,8
384,-76,12.25,8
385,-75,11.25,8
386,-76,11.75,8
387,-75,11.25,8
388,-72,12.25,8
389,-72,12.00,8
390,-72,12.00,8
391,-72,12.25,8
392,-73,12.00,8
393,-72,12.25,8
394,-73,12.00,8
395,-73,11.75,8
396,-74,12.25,8
397,-75,11.75,8
398,-71,12.00,8
399,-71,12.25,8
400,-72,13.75,9
401,-75,10.25,9
402,-76,9.75,9
403,-75,10.75,9
404,-75,10.00,9
405,-76,10.75,9
406,-76,9.75,9
407,-74,13.50,9
408,-74,13.25,9
409,-74,11.25,9
410,-75,10.00,9
411,-75,10.25,9
412,-73,13.25,9
413,-74,11.75,9
414,-75,10.00,9
415,-75,11.50,9
416,-74,10.75,9
417,-74,13.75,9
418,-73,13.75,9
419,-74,13.50,9
420,-76,10.25,9
421,-75,9.75,9
422,-76,11.25,9
423,-75,10.00,9
424,-76,13.50,9
425,-74,12.25,9
426,-72,13.50,9
427,-75,10.00,9
428,-73,13.50,9
429,-75,10.50,9
430,-77,13.75,9
431,-74,12.75,9
432,-74,13.50,9
433,-76,12.75,9
434,-76,11.50,9
435,-75,9.75,9
436,-77,13.75,9
437,-75,10.25,9
438,-76,12.25,9
439,-74,13.50,9
440,-75,9.75,9
441,-75,11.75,9
442,-75,10.00,9
443,-75,10.25,9
444,-73,13.25,9
445,-72,13.50,9
446,-73,13.50,9
447,-75,10.25,9
448,-75,10.25,9
449,-74,13.50,9
450,-76,10.25,10
451,-76,10.25,10
487,-74,6.50,10
488,-75,11.50,10
489,-74,11.25,10
490,-75,11.25,10
491,-78,13.75,10
492,-76,10.00,10
493,-74,13.00,10
494,-73,13.50,10
495,-73,13.75,10
496,-75,11.75,10
497,-73,13.00,10
498,-73,13.25,10
499,-72,14.25,10
500,-74,12.00,11
501,-74,12.00,11
502,-75,11.50,11
503,-76,10.50,11
504,-78,12.25,11
505,-79,12.75,11
506,-78,10.25,11
507,-77,9.50,11
508,-78,11.75,11
509,-77,9.75,11
510,-77,9.00,11
511,-76,10.25,11
512,-76,9.25,11
513,-77,9.25,11
514,-77,9.25,11
515,-77,9.00,11
516,-77,9.50,11
517,-78,8.50,11
518,-77,9.50,11
519,-76,10.50,11
520,-76,10.75,11
521,-74,11.00,11
522,-75,11.75,11
523,-76,10.50,11
524,-76,11.00,11
525,-76,10.50,11
526,-75,10.50,11
527,-75,11.25,11
528,-76,10.50,11
529,-75,11.00,11
530,-75,10.75,11
531,-76,11.00,11
532,-76,10.50,11
533,-75,11.25,11
534,-76,11.25,11
535,-76,11.25,11
536,-78,10.00,11
537,-78,10.50,11
538,-78,11.50,11
539,-77,8.75,11
540,-77,10.00,11
541,-78,10.00,11
542,-78,12.25,11
543,-80,11.00,11
544,-78,10.75,11
545,-78,11.00,11
546,-77,10.00,11
547,-78,11.00,11
548,-77,10.25,11
550,-78,9.00,12
551,-77,7.75,12
552,-78,8.50,12
553,-75,9.00,12
554,-75,8.75,12
555,-75,9.00,12
556,-75,8.75,12
557,-75,10.25,12
558,-76,9.25,12
559,-76,8.75,12
560,-74,10.25,12
561,-76,8.75,12
562,-76,9.00,12
563,-76,9.25,12
564,-77,9.25,12
565,-78,9.50,12
566,-77,8.50,12
567,-77,9.50,12
568,-77,9.25,12
569,-77,8.50,12
570,-77,9.25,12
571,-75,8.25,12
572,-79,9.00,12
573,-76,9.50,12
574,-77,9.00,12
575,-77,8.50,12
576,-74,10.75,12
577,-74,9.75,12
578,-76,8.75,12
579,-73,10.75,12
580,-78,10.25,12
581,-76,9.25,12
582,-77,8.75,12
583,-77,9.25,12
584,-76,10.00,12
585,-76,9.25,12
586,-76,8.25,12
587,-76,9.00,12
588,-77,8.25,12
589,-77,9.50,12
590,-74,10.50,12
591,-75,9.50,12
592,-75,9.25,12
593,-75,10.00,12
594,-75,9.75,12
595,-74,9.50,12
596,-77,10.25,12
597,-76,10.00,12
598,-77,9.75,12
599,-75,10.50,12
600,-76,9.50,7
602,-72,9.50,7
603,-71,9.75,7
605,-71,9.50,7
606,-77,9.25,7
607,-75,9.75,7
608,-73,9.75,7
609,-72,9.50,7
610,-75,9.75,7
