index,rssi,snr,sf
0,-76,9.50,7
1,-77,9.50,7
2,-77,9.50,7
3,-80,10.00,7
4,-74,9.00,7
5,-76,9.50,7
6,-81,9.25,7
7,-76,9.75,7
8,-81,9.25,7
9,-81,9.25,7
10,-78,9.75,7
11,-78,9.75,7
12,-75,9.00,7
13,-74,9.75,7
14,-72,9.50,7
15,-75,9.25,7
16,-75,9.50,7
17,-74,9.00,7
18,-80,9.25,7
19,-72,9.50,7
20,-71,9.50,7
21,-71,9.25,7
22,-80,9.25,7
23,-79,9.25,7
24,-77,10.50,7
25,-77,9.50,7
26,-85,9.25,7
27,-76,9.50,7
28,-80,9.50,7
29,-76,9.50,7
30,-79,9.50,7
31,-78,9.25,7
32,-75,9.50,7
33,-74,9.50,7
34,-76,9.50,7
35,-76,9.25,7
36,-76,9.50,7
37,-76,9.50,7
38,-77,9.50,7
39,-76,9.25,7
40,-76,9.25,7
41,-76,9.75,7
42,-76,9.50,7
43,-76,9.25,7
44,-75,9.25,7
45,-76,9.50,7
46,-77,9.75,7
47,-76,9.75,7
48,-75,9.25,7
49,-76,9.50,7
50,-76,11.25,8
51,-76,11.25,8
52,-76,11.75,8
53,-76,11.50,8
54,-74,12.00,8
55,-76,10.75,8
56,-75,12.00,8
57,-75,11.50,8
58,-74,11.75,8
59,-76,11.50,8
60,-78,12.00,8
61,-78,11.75,8
62,-79,11.75,8
63,-78,11.75,8
64,-77,11.75,8
65,-76,10.75,8
66,-73,12.25,8
67,-72,11.75,8
68,-72,12.00,8
69,-72,11.75,8
70,-72,12.00,8
71,-72,11.75,8
72,-72,12.25,8
73,-74,11.75,8
74,-72,11.75,8
75,-73,12.00,8
76,-73,12.00,8
77,-75,11.75,8
78,-74,12.00,8
79,-74,12.00,8
80,-72,12.25,8
81,-71,11.75,8
82,-71,11.75,8
83,-72,12.00,8
84,-73,12.00,8
85,-74,12.00,8
86,-72,12.00,8
87,-71,10.75,8
88,-71,12.25,8
89,-73,12.00,8
90,-73,8.75,8
91,-75,11.50,8
92,-73,11.75,8
93,-72,12.00,8
94,-75,11.50,8
95,-73,11.75,8
96,-75,10.50,8
97,-75,8.25,8
98,-73,11.50,8
99,-74,11.75,8
100,-72,13.50,9
101,-74,13.00,9
102,-72,13.75,9
103,-74,10.75,9
104,-75,10.25,9
105,-76,13.00,9
106,-75,10.25,9
107,-73,13.50,9
108,-74,10.25,9
109,-76,12.25,9
110,-74,12.75,9
111,-75,10.50,9
112,-72,13.25,9
113,-72,13.00,9
114,-71,13.75,9
115,-72,13.25,9
116,-72,13.75,9
117,-74,10.75,9
118,-74,11.75,9
119,-73,13.25,9
120,-71,13.75,9
121,-73,13.50,9
122,-74,10.50,9
123,-75,10.25,9
124,-74,10.00,9
125,-75,11.00,9
126,-75,10.00,9
127,-74,11.75,9
128,-73,13.50,9
129,-75,10.50,9
130,-73,13.75,9
131,-72,13.25,9
132,-73,13.75,9
133,-73,13.00,9
134,-72,13.25,9
135,-72,13.50,9
136,-73,13.00,9
137,-73,13.25,9
138,-73,13.00,9
139,-74,12.00,9
140,-75,10.25,9
141,-75,10.25,9
142,-75,10.25,9
143,-75,10.00,9
144,-75,10.50,9
145,-74,10.50,9
146,-74,10.25,9
147,-74,11.00,9
148,-75,10.00,9
149,-75,10.00,9
150,-75,10.75,10
151,-76,11.25,10
152,-76,11.00,10
153,-75,11.00,10
154,-73,13.25,10
155,-72,13.50,10
156,-73,13.25,10
157,-72,13.75,10
158,-73,12.75,10
159,-73,12.50,10
160,-73,13.50,10
161,-72,13.75,10
162,-72,13.75,10
163,-74,12.00,10
164,-75,10.50,10
165,-74,11.75,10
166,-74,11.00,10
167,-72,12.25,10
168,-72,14.00,10
169,-73,13.75,10
170,-73,12.25,10
171,-74,11.50,10
172,-74,11.50,10
173,-74,11.50,10
174,-74,11.50,10
175,-73,13.25,10
176,-74,11.50,10
177,-76,10.25,10
178,-75,10.25,10
179,-74,11.50,10
180,-74,11.25,10
181,-77,13.50,10
182,-72,13.75,10
183,-76,11.00,10
184,-74,11.75,10
185,-71,13.25,10
186,-73,13.25,10
187,-73,13.75,10
188,-73,12.75,10
189,-74,11.75,10
190,-74,11.75,10
191,-74,11.25,10
192,-73,12.00,10
193,-74,10.00,10
194,-74,11.25,10
195,-74,11.25,10
196,-73,13.50,10
197,-73,13.00,10
198,-73,13.25,10
199,-73,13.50,10
200,-75,10.50,11
201,-73,11.00,11
202,-73,10.50,11
203,-74,11.00,11
204,-74,10.25,11
205,-75,9.75,11
206,-77,9.25,11
207,-76,10.00,11
208,-78,9.25,11
209,-77,9.50,11
210,-73,11.25,11
211,-74,11.25,11
212,-77,9.25,11
213,-78,10.50,11
214,-77,10.00,11
215,-77,9.00,11
216,-76,9.00,11
217,-76,10.00,11
218,-76,10.25,11
219,-76,10.00,11
220,-76,10.00,11
221,-76,9.75,11
222,-76,10.00,11
223,-75,10.50,11
224,-76,10.00,11
225,-76,10.00,11
226,-75,10.25,11
227,-75,10.50,11
228,-75,11.25,11
229,-76,10.25,11
230,-75,11.50,11
231,-75,10.75,11
232,-78,11.25,11
233,-77,9.25,11
234,-78,10.75,11
235,-78,11.50,11
236,-77,10.00,11
237,-77,9.75,11
238,-76,10.00,11
239,-80,11.50,11
240,-78,11.25,11
241,-80,11.50,11
242,-77,9.50,11
243,-79,11.00,11
244,-75,11.00,11
245,-76,10.50,11
246,-76,9.50,11
247,-76,10.25,11
248,-78,10.75,11
249,-78,10.75,11
250,-78,8.00,12
251,-77,8.25,12
252,-77,8.50,12
253,-77,8.75,12
254,-77,8.50,12
255,-76,8.50,12
256,-77,8.25,12
257,-77,8.25,12
258,-75,8.50,12
259,-76,9.00,12
260,-74,9.75,12
261,-75,9.50,12
262,-75,9.25,12
263,-77,8.25,12
264,-77,9.00,12
265,-77,9.50,12
266,-76,9.00,12
267,-76,8.50,12
268,-76,8.75,12
269,-76,9.00,12
270,-75,10.50,12
271,-77,9.00,12
272,-79,9.75,12
273,-75,9.00,12
274,-76,9.50,12
275,-75,9.50,12
276,-76,9.25,12
277,-76,9.00,12
278,-75,9.00,12
279,-75,9.50,12
280,-74,9.00,12
281,-78,8.50,12
282,-76,8.75,12
283,-76,8.75,12
284,-77,9.00,12
285,-79,11.00,12
286,-75,8.50,12
287,-76,9.25,12
288,-75,9.25,12
289,-76,8.50,12
290,-76,8.50,12
291,-76,9.25,12
292,-76,9.00,12
293,-76,8.75,12
294,-76,9.25,12
295,-75,9.25,12
296,-76,8.25,12
297,-76,8.75,12
298,-75,8.75,12
299,-75,9.25,12
300,-72,9.75,7
301,-73,12.25,7
302,-74,9.50,7
303,-74,9.75,7
304,-74,9.50,7
305,-73,10.50,7
306,-73,9.75,7
307,-74,9.75,7
308,-74,10.25,7
309,-74,9.75,7
310,-75,9.50,7
311,-73,10.00,7
312,-74,9.50,7
313,-74,9.25,7
314,-74,11.75,7
315,-74,9.75,7
316,-74,10.25,7
317,-74,9.50,7
318,-73,9.75,7
319,-74,9.75,7
320,-75,9.50,7
321,-75,9.25,7
322,-72,9.75,7
323,-74,9.50,7
324,-72,10.25,7
325,-77,9.50,7
326,-75,9.75,7
327,-73,12.00,7
328,-75,9.25,7
329,-73,12.25,7
330,-73,9.75,7
344,-76,9.25,7
345,-74,9.75,7
346,-74,9.25,7
347,-73,10.25,7
348,-75,9.50,7
349,-75,9.50,7
350,-75,11.00,8
351,-75,11.25,8
352,-70,12.00,8
353,-74,11.50,8
354,-72,12.00,8
355,-73,12.25,8
356,-73,12.00,8
357,-73,12.50,8
358,-73,12.00,8
359,-73,11.75,8
360,-74,11.50,8
361,-74,12.25,8
362,-74,11.75,8
363,-74,11.75,8
364,-74,12.00,8
365,-74,11.75,8
